id,financial_year,ca,caqf,age_group,age_group_qf,sex,sex_qf,number_assessed,number_assessed_qf,percent_assessed,percent_assessed_qf
1,2006/07,S92000003,d,All,d,All,d,12186,NA,100,NA
2,2007/08,S92000003,d,All,d,All,d,12931,NA,100,NA
3,2008/09,S92000003,d,All,d,All,d,12117,NA,100,NA
4,2009/10,S92000003,d,All,d,All,d,11317,NA,100,NA
5,2010/11,S92000003,d,All,d,All,d,11427,NA,100,NA
6,2011/12,S92000003,d,All,d,All,d,11335,NA,100,NA
7,2012/13,S92000003,d,All,d,All,d,11672,NA,100,NA
8,2013/14,S92000003,d,All,d,All,d,NA,:,NA,:
9,2014/15,S92000003,d,All,d,All,d,12524,NA,100,NA
10,2015/16,S92000003,d,All,d,All,d,12140,NA,100,NA
11,2016/17,S92000003,d,All,d,All,d,11896,NA,100,NA
12,2017/18,S92000003,d,All,d,All,d,11031,NA,100,NA
13,2018/19,S92000003,d,All,d,All,d,10757,NA,100,NA
14,2006/07,S12000033,NA,All,d,All,d,412,NA,100,NA
15,2007/08,S12000033,NA,All,d,All,d,676,NA,100,NA
16,2008/09,S12000033,NA,All,d,All,d,555,NA,100,NA
17,2009/10,S12000033,NA,All,d,All,d,524,NA,100,NA
18,2010/11,S12000033,NA,All,d,All,d,511,NA,100,NA
19,2011/12,S12000033,NA,All,d,All,d,500,NA,100,NA
20,2012/13,S12000033,NA,All,d,All,d,640,NA,100,NA
21,2013/14,S12000033,NA,All,d,All,d,723,NA,100,NA
22,2014/15,S12000033,NA,All,d,All,d,736,NA,100,NA
23,2015/16,S12000033,NA,All,d,All,d,865,NA,100,NA
24,2016/17,S12000033,NA,All,d,All,d,677,NA,100,NA
25,2017/18,S12000033,NA,All,d,All,d,730,NA,100,NA
26,2018/19,S12000033,NA,All,d,All,d,624,NA,100,NA
27,2006/07,S12000034,NA,All,d,All,d,354,NA,100,NA
28,2007/08,S12000034,NA,All,d,All,d,303,NA,100,NA
29,2008/09,S12000034,NA,All,d,All,d,296,NA,100,NA
30,2009/10,S12000034,NA,All,d,All,d,283,NA,100,NA
31,2010/11,S12000034,NA,All,d,All,d,372,NA,100,NA
32,2011/12,S12000034,NA,All,d,All,d,399,NA,100,NA
33,2012/13,S12000034,NA,All,d,All,d,345,NA,100,NA
34,2013/14,S12000034,NA,All,d,All,d,328,NA,100,NA
35,2014/15,S12000034,NA,All,d,All,d,346,NA,100,NA
36,2015/16,S12000034,NA,All,d,All,d,327,NA,100,NA
37,2016/17,S12000034,NA,All,d,All,d,572,NA,100,NA
38,2017/18,S12000034,NA,All,d,All,d,486,NA,100,NA
39,2018/19,S12000034,NA,All,d,All,d,545,NA,100,NA
40,2006/07,S12000041,NA,All,d,All,d,177,NA,100,NA
41,2007/08,S12000041,NA,All,d,All,d,317,NA,100,NA
42,2008/09,S12000041,NA,All,d,All,d,264,NA,100,NA
43,2009/10,S12000041,NA,All,d,All,d,163,NA,100,NA
44,2010/11,S12000041,NA,All,d,All,d,144,NA,100,NA
45,2011/12,S12000041,NA,All,d,All,d,144,NA,100,NA
46,2012/13,S12000041,NA,All,d,All,d,190,NA,100,NA
47,2013/14,S12000041,NA,All,d,All,d,NA,:,NA,:
48,2014/15,S12000041,NA,All,d,All,d,193,NA,100,NA
49,2015/16,S12000041,NA,All,d,All,d,184,NA,100,NA
50,2016/17,S12000041,NA,All,d,All,d,129,NA,100,NA
51,2017/18,S12000041,NA,All,d,All,d,77,NA,100,NA
52,2018/19,S12000041,NA,All,d,All,d,71,NA,100,NA
53,2006/07,S12000035,NA,All,d,All,d,148,NA,100,NA
54,2007/08,S12000035,NA,All,d,All,d,159,NA,100,NA
55,2008/09,S12000035,NA,All,d,All,d,158,NA,100,NA
56,2009/10,S12000035,NA,All,d,All,d,135,NA,100,NA
57,2010/11,S12000035,NA,All,d,All,d,88,NA,100,NA
58,2011/12,S12000035,NA,All,d,All,d,78,NA,100,NA
59,2012/13,S12000035,NA,All,d,All,d,55,NA,100,NA
60,2013/14,S12000035,NA,All,d,All,d,79,NA,100,NA
61,2014/15,S12000035,NA,All,d,All,d,74,NA,100,NA
62,2015/16,S12000035,NA,All,d,All,d,53,NA,100,NA
63,2016/17,S12000035,NA,All,d,All,d,56,NA,100,NA
64,2017/18,S12000035,NA,All,d,All,d,74,NA,100,NA
65,2018/19,S12000035,NA,All,d,All,d,44,NA,100,NA
66,2006/07,S12000008,NA,All,d,All,d,466,NA,100,NA
67,2007/08,S12000008,NA,All,d,All,d,385,NA,100,NA
68,2008/09,S12000008,NA,All,d,All,d,463,NA,100,NA
69,2009/10,S12000008,NA,All,d,All,d,464,NA,100,NA
70,2010/11,S12000008,NA,All,d,All,d,457,NA,100,NA
71,2011/12,S12000008,NA,All,d,All,d,452,NA,100,NA
72,2012/13,S12000008,NA,All,d,All,d,369,NA,100,NA
73,2013/14,S12000008,NA,All,d,All,d,511,NA,100,NA
74,2014/15,S12000008,NA,All,d,All,d,491,NA,100,NA
75,2015/16,S12000008,NA,All,d,All,d,451,NA,100,NA
76,2016/17,S12000008,NA,All,d,All,d,372,NA,100,NA
77,2017/18,S12000008,NA,All,d,All,d,294,NA,100,NA
78,2018/19,S12000008,NA,All,d,All,d,374,NA,100,NA
79,2006/07,S12000021,NA,All,d,All,d,466,NA,100,NA
80,2007/08,S12000021,NA,All,d,All,d,342,NA,100,NA
81,2008/09,S12000021,NA,All,d,All,d,449,NA,100,NA
82,2009/10,S12000021,NA,All,d,All,d,681,NA,100,NA
83,2010/11,S12000021,NA,All,d,All,d,620,NA,100,NA
84,2011/12,S12000021,NA,All,d,All,d,441,NA,100,NA
85,2012/13,S12000021,NA,All,d,All,d,446,NA,100,NA
86,2013/14,S12000021,NA,All,d,All,d,539,NA,100,NA
87,2014/15,S12000021,NA,All,d,All,d,455,NA,100,NA
88,2015/16,S12000021,NA,All,d,All,d,491,NA,100,NA
89,2016/17,S12000021,NA,All,d,All,d,400,NA,100,NA
90,2017/18,S12000021,NA,All,d,All,d,350,NA,100,NA
91,2018/19,S12000021,NA,All,d,All,d,412,NA,100,NA
92,2006/07,S12000028,NA,All,d,All,d,219,NA,100,NA
93,2007/08,S12000028,NA,All,d,All,d,235,NA,100,NA
94,2008/09,S12000028,NA,All,d,All,d,190,NA,100,NA
95,2009/10,S12000028,NA,All,d,All,d,247,NA,100,NA
96,2010/11,S12000028,NA,All,d,All,d,254,NA,100,NA
97,2011/12,S12000028,NA,All,d,All,d,280,NA,100,NA
98,2012/13,S12000028,NA,All,d,All,d,269,NA,100,NA
99,2013/14,S12000028,NA,All,d,All,d,320,NA,100,NA
100,2014/15,S12000028,NA,All,d,All,d,287,NA,100,NA
101,2015/16,S12000028,NA,All,d,All,d,236,NA,100,NA
102,2016/17,S12000028,NA,All,d,All,d,224,NA,100,NA
103,2017/18,S12000028,NA,All,d,All,d,267,NA,100,NA
104,2018/19,S12000028,NA,All,d,All,d,256,NA,100,NA
105,2006/07,S12000026,NA,All,d,All,d,128,NA,100,NA
106,2007/08,S12000026,NA,All,d,All,d,185,NA,100,NA
107,2008/09,S12000026,NA,All,d,All,d,182,NA,100,NA
108,2009/10,S12000026,NA,All,d,All,d,192,NA,100,NA
109,2010/11,S12000026,NA,All,d,All,d,190,NA,100,NA
110,2011/12,S12000026,NA,All,d,All,d,220,NA,100,NA
111,2012/13,S12000026,NA,All,d,All,d,165,NA,100,NA
112,2013/14,S12000026,NA,All,d,All,d,185,NA,100,NA
113,2014/15,S12000026,NA,All,d,All,d,142,NA,100,NA
114,2015/16,S12000026,NA,All,d,All,d,152,NA,100,NA
115,2016/17,S12000026,NA,All,d,All,d,215,NA,100,NA
116,2017/18,S12000026,NA,All,d,All,d,156,NA,100,NA
117,2018/19,S12000026,NA,All,d,All,d,187,NA,100,NA
118,2006/07,S12000005,NA,All,d,All,d,130,NA,100,NA
119,2007/08,S12000005,NA,All,d,All,d,116,NA,100,NA
120,2008/09,S12000005,NA,All,d,All,d,129,NA,100,NA
121,2009/10,S12000005,NA,All,d,All,d,126,NA,100,NA
122,2010/11,S12000005,NA,All,d,All,d,162,NA,100,NA
123,2011/12,S12000005,NA,All,d,All,d,136,NA,100,NA
124,2012/13,S12000005,NA,All,d,All,d,141,NA,100,NA
125,2013/14,S12000005,NA,All,d,All,d,144,NA,100,NA
126,2014/15,S12000005,NA,All,d,All,d,164,NA,100,NA
127,2015/16,S12000005,NA,All,d,All,d,154,NA,100,NA
128,2016/17,S12000005,NA,All,d,All,d,141,NA,100,NA
129,2017/18,S12000005,NA,All,d,All,d,158,NA,100,NA
130,2018/19,S12000005,NA,All,d,All,d,174,NA,100,NA
131,2006/07,S12000006,NA,All,d,All,d,318,NA,100,NA
132,2007/08,S12000006,NA,All,d,All,d,203,NA,100,NA
133,2008/09,S12000006,NA,All,d,All,d,206,NA,100,NA
134,2009/10,S12000006,NA,All,d,All,d,211,NA,100,NA
135,2010/11,S12000006,NA,All,d,All,d,269,NA,100,NA
136,2011/12,S12000006,NA,All,d,All,d,264,NA,100,NA
137,2012/13,S12000006,NA,All,d,All,d,322,NA,100,NA
138,2013/14,S12000006,NA,All,d,All,d,378,NA,100,NA
139,2014/15,S12000006,NA,All,d,All,d,354,NA,100,NA
140,2015/16,S12000006,NA,All,d,All,d,352,NA,100,NA
141,2016/17,S12000006,NA,All,d,All,d,331,NA,100,NA
142,2017/18,S12000006,NA,All,d,All,d,327,NA,100,NA
143,2018/19,S12000006,NA,All,d,All,d,324,NA,100,NA
144,2006/07,S12000045,NA,All,d,All,d,67,NA,100,NA
145,2007/08,S12000045,NA,All,d,All,d,96,NA,100,NA
146,2008/09,S12000045,NA,All,d,All,d,114,NA,100,NA
147,2009/10,S12000045,NA,All,d,All,d,68,NA,100,NA
148,2010/11,S12000045,NA,All,d,All,d,54,NA,100,NA
149,2011/12,S12000045,NA,All,d,All,d,115,NA,100,NA
150,2012/13,S12000045,NA,All,d,All,d,132,NA,100,NA
151,2013/14,S12000045,NA,All,d,All,d,100,NA,100,NA
152,2014/15,S12000045,NA,All,d,All,d,84,NA,100,NA
153,2015/16,S12000045,NA,All,d,All,d,32,NA,100,NA
154,2016/17,S12000045,NA,All,d,All,d,41,NA,100,NA
155,2017/18,S12000045,NA,All,d,All,d,67,NA,100,NA
156,2018/19,S12000045,NA,All,d,All,d,67,NA,100,NA
157,2006/07,S12000039,NA,All,d,All,d,402,NA,100,NA
158,2007/08,S12000039,NA,All,d,All,d,385,NA,100,NA
159,2008/09,S12000039,NA,All,d,All,d,507,NA,100,NA
160,2009/10,S12000039,NA,All,d,All,d,431,NA,100,NA
161,2010/11,S12000039,NA,All,d,All,d,421,NA,100,NA
162,2011/12,S12000039,NA,All,d,All,d,416,NA,100,NA
163,2012/13,S12000039,NA,All,d,All,d,337,NA,100,NA
164,2013/14,S12000039,NA,All,d,All,d,366,NA,100,NA
165,2014/15,S12000039,NA,All,d,All,d,371,NA,100,NA
166,2015/16,S12000039,NA,All,d,All,d,310,NA,100,NA
167,2016/17,S12000039,NA,All,d,All,d,291,NA,100,NA
168,2017/18,S12000039,NA,All,d,All,d,271,NA,100,NA
169,2018/19,S12000039,NA,All,d,All,d,317,NA,100,NA
170,2006/07,S12000042,NA,All,d,All,d,569,NA,100,NA
171,2007/08,S12000042,NA,All,d,All,d,756,NA,100,NA
172,2008/09,S12000042,NA,All,d,All,d,886,NA,100,NA
173,2009/10,S12000042,NA,All,d,All,d,683,NA,100,NA
174,2010/11,S12000042,NA,All,d,All,d,470,NA,100,NA
175,2011/12,S12000042,NA,All,d,All,d,396,NA,100,NA
