feature_code,name,type,date_code,smokes,household_type,sex,long_term_condition,age,sm_lower_ci,sm_upper_ci,sm_percent
S12000039,West Dunbartonshire,Local Authority,2017,No,All,Male,All,All,68.9,84.1,76.5
S12000042,Dundee City,Local Authority,2017,No,All,Male,All,All,71.7,83.9,77.8
S08000015,Ayrshire and Arran,NHS Health Board,2015,No,All,Male,All,All,72.3,79.8,76.1
S12000028,South Ayrshire,Local Authority,2017,No,All,Male,All,All,78.2,90.1,84.2
S08000017,Dumfries and Galloway,NHS Health Board,2015,No,All,Male,All,All,71,82.2,76.6
S12000029,South Lanarkshire,Local Authority,2017,No,All,Male,All,All,75.5,83.9,79.7
S12000005,Clackmannanshire,Local Authority,2013,No,All,Male,All,All,67.1,84.5,75.8
S08000032,Lanarkshire,NHS Health Board,2013,No,All,Male,All,All,71.1,77.9,74.5
S12000021,North Ayrshire,Local Authority,2018,No,All,Male,All,All,69.3,81.8,75.5
S08000032,Lanarkshire,NHS Health Board,2012,No,All,Male,All,All,69.5,76.4,73
S12000014,Falkirk,Local Authority,2015,No,All,Male,All,All,72.8,84.2,78.5
S12000045,East Dunbartonshire,Local Authority,2019,Yes,All,Male,All,All,3.5,10.5,7
S12000010,East Lothian,Local Authority,2015,No,All,Male,All,All,71.2,85.4,78.3
S12000040,West Lothian,Local Authority,2012,No,All,Male,All,All,62.6,77.4,70
S12000036,City of Edinburgh,Local Authority,2012,No,All,Male,All,All,72.6,80.3,76.4
S08000028,Western Isles,NHS Health Board,2013,No,All,Male,All,All,64.8,80.4,72.6
S12000034,Aberdeenshire,Local Authority,2014,Yes,All,Male,All,All,17,27.5,22.3
S12000029,South Lanarkshire,Local Authority,2015,Yes,All,Male,All,All,16.9,25.9,21.4
S12000036,City of Edinburgh,Local Authority,2013,Yes,All,Male,All,All,18.3,25.3,21.8
S12000013,Na h-Eileanan Siar,Local Authority,2012,Yes,All,Male,All,All,20.1,35.9,28
S12000045,East Dunbartonshire,Local Authority,2012,Yes,All,Male,All,All,5,14.6,9.8
S12000011,East Renfrewshire,Local Authority,2012,Yes,All,Male,All,All,9.6,23.3,16.4
S12000020,Moray,Local Authority,2015,Yes,All,Male,All,All,17.2,31.7,24.5
S12000019,Midlothian,Local Authority,2016,No,All,Male,All,All,78.8,91.6,85.2
S12000014,Falkirk,Local Authority,2016,No,All,Male,All,All,75.6,87.3,81.4
S12000023,Orkney Islands,Local Authority,2016,No,All,Male,All,All,81.5,93.4,87.5
S08000031,Greater Glasgow and Clyde,NHS Health Board,2012,No,All,Male,All,All,71.1,76,73.5
S12000028,South Ayrshire,Local Authority,2013,No,All,Male,All,All,68,83.3,75.6
S08000017,Dumfries and Galloway,NHS Health Board,2014,Yes,All,Male,All,All,19.9,31.9,25.9
S12000011,East Renfrewshire,Local Authority,2017,Yes,All,Male,All,All,7.8,27.4,17.6
S08000028,Western Isles,NHS Health Board,2014,Yes,All,Male,All,All,18.9,37.8,28.3
S08000026,Shetland,NHS Health Board,2015,No,All,Male,All,All,80.6,91.9,86.2
S12000021,North Ayrshire,Local Authority,2015,No,All,Male,All,All,63.9,77.2,70.5
S08000031,Greater Glasgow and Clyde,NHS Health Board,2019,No,All,Male,All,All,77,82,79.5
S12000027,Shetland Islands,Local Authority,2015,No,All,Male,All,All,80.6,91.9,86.2
S12000017,Highland,Local Authority,2016,No,All,Male,All,All,74.6,85.9,80.3
S12000020,Moray,Local Authority,2015,No,All,Male,All,All,68.3,82.8,75.5
S12000023,Orkney Islands,Local Authority,2016,Yes,All,Male,All,All,6.6,18.5,12.5
S12000050,North Lanarkshire,Local Authority,2018,No,All,Male,All,All,71.6,81.5,76.5
S08000028,Western Isles,NHS Health Board,2017,Yes,All,Male,All,All,16.4,28,22.2
S12000013,Na h-Eileanan Siar,Local Authority,2017,Yes,All,Male,All,All,16.4,28,22.2
S12000028,South Ayrshire,Local Authority,2016,Yes,All,Male,All,All,11.3,24.1,17.7
S12000019,Midlothian,Local Authority,2016,Yes,All,Male,All,All,7.4,19,13.2
S12000035,Argyll and Bute,Local Authority,2016,Yes,All,Male,All,All,13.9,26.1,20
S08000024,Lothian,NHS Health Board,2012,No,All,Male,All,All,71.2,77.5,74.4
S12000034,Aberdeenshire,Local Authority,2015,No,All,Male,All,All,73.1,82.9,78
S12000008,East Ayrshire,Local Authority,2014,Yes,All,Male,All,All,16,29.2,22.6
S12000008,East Ayrshire,Local Authority,2017,Yes,All,Male,All,All,12.6,27,19.8
S12000042,Dundee City,Local Authority,2017,Yes,All,Male,All,All,16.1,28.4,22.2
S08000029,Fife,NHS Health Board,2015,Yes,All,Male,All,All,20.4,29.2,24.8
S12000033,Aberdeen City,Local Authority,2012,No,All,Male,All,All,72.3,82.8,77.5
S12000020,Moray,Local Authority,2014,No,All,Male,All,All,72.1,84.5,78.3
S12000018,Inverclyde,Local Authority,2018,Yes,All,Male,All,All,14.1,27.8,21
S12000040,West Lothian,Local Authority,2016,No,All,Male,All,All,70.4,84.7,77.6
S12000039,West Dunbartonshire,Local Authority,2014,No,All,Male,All,All,69.9,82.3,76.1
S12000038,Renfrewshire,Local Authority,2019,No,All,Male,All,All,74,85,79.5
S12000027,Shetland Islands,Local Authority,2014,No,All,Male,All,All,71.3,88.6,79.9
S92000003,Scotland,Scotland,2012,No,All,Male,All,All,73.3,75.6,74.5
S12000034,Aberdeenshire,Local Authority,2019,No,All,Male,All,All,77.5,87.5,82.5
S12000010,East Lothian,Local Authority,2013,No,All,Male,All,All,73.3,87.6,80.4
S12000048,Perth and Kinross,Local Authority,2013,No,All,Male,All,All,66.5,83.1,74.8
S08000031,Greater Glasgow and Clyde,NHS Health Board,2015,No,All,Male,All,All,73,77.7,75.3
S12000005,Clackmannanshire,Local Authority,2017,No,All,Male,All,All,72.9,88.3,80.6
S12000019,Midlothian,Local Authority,2015,No,All,Male,All,All,60.6,84.3,72.4
S08000015,Ayrshire and Arran,NHS Health Board,2014,No,All,Male,All,All,73.8,81.4,77.6
S12000028,South Ayrshire,Local Authority,2015,No,All,Male,All,All,76.1,88.1,82.1
S12000020,Moray,Local Authority,2018,No,All,Male,All,All,73.5,88.6,81
S12000028,South Ayrshire,Local Authority,2018,Yes,All,Male,All,All,17.1,31.8,24.4
S08000022,Highland,NHS Health Board,2012,No,All,Male,All,All,68.4,77.6,73
S12000039,West Dunbartonshire,Local Authority,2018,Yes,All,Male,All,All,13.6,29.3,21.4
S12000030,Stirling,Local Authority,2016,No,All,Male,All,All,80.4,92,86.2
S12000018,Inverclyde,Local Authority,2018,No,All,Male,All,All,72.2,85.9,79
S12000006,Dumfries and Galloway,Local Authority,2013,Yes,All,Male,All,All,17.5,27.8,22.7
S12000042,Dundee City,Local Authority,2018,No,All,Male,All,All,71,84.7,77.8
S08000026,Shetland,NHS Health Board,2016,No,All,Male,All,All,65.2,86.1,75.7
S12000035,Argyll and Bute,Local Authority,2018,Yes,All,Male,All,All,13.6,27,20.3
S12000033,Aberdeen City,Local Authority,2016,No,All,Male,All,All,75.7,84.9,80.3
S08000032,Lanarkshire,NHS Health Board,2019,No,All,Male,All,All,79,85,82
S12000048,Perth and Kinross,Local Authority,2016,No,All,Male,All,All,78.2,89.4,83.8
S12000047,Fife,Local Authority,2018,Yes,All,Male,All,All,18.2,27.1,22.6
S12000040,West Lothian,Local Authority,2017,No,All,Male,All,All,70,84.9,77.5
S12000019,Midlothian,Local Authority,2017,No,All,Male,All,All,72.9,87.4,80.2
S08000015,Ayrshire and Arran,NHS Health Board,2016,No,All,Male,All,All,73,80.9,76.9
S08000028,Western Isles,NHS Health Board,2014,No,All,Male,All,All,62.2,81.2,71.7
S12000050,North Lanarkshire,Local Authority,2012,No,All,Male,All,All,65.3,75.5,70.4
S08000024,Lothian,NHS Health Board,2013,No,All,Male,All,All,76.5,81.9,79.2
S12000036,City of Edinburgh,Local Authority,2016,Yes,All,Male,All,All,16.9,23.4,20.2
S12000040,West Lothian,Local Authority,2019,No,All,Male,All,All,73,86,79.5
S08000032,Lanarkshire,NHS Health Board,2014,No,All,Male,All,All,75.7,82.3,79
S12000034,Aberdeenshire,Local Authority,2016,No,All,Male,All,All,73.9,84,78.9
S08000032,Lanarkshire,NHS Health Board,2016,No,All,Male,All,All,73.2,79.9,76.6
S12000021,North Ayrshire,Local Authority,2017,No,All,Male,All,All,69.6,83.2,76.4
S08000019,Forth Valley,NHS Health Board,2014,No,All,Male,All,All,71.7,80.4,76
S08000029,Fife,NHS Health Board,2014,Yes,All,Male,All,All,17.8,26.6,22.2
S12000041,Angus,Local Authority,2018,Yes,All,Male,All,All,12.6,26.4,19.5
S12000030,Stirling,Local Authority,2012,No,All,Male,All,All,67.8,85.5,76.6
S12000010,East Lothian,Local Authority,2012,No,All,Male,All,All,62.8,85.5,74.1
S12000038,Renfrewshire,Local Authority,2014,No,All,Male,All,All,67,82.4,74.7
S92000003,Scotland,Scotland,2016,No,All,Male,All,All,77.3,79.5,78.4
S12000035,Argyll and Bute,Local Authority,2012,No,All,Male,All,All,54.8,72.8,63.8
S12000021,North Ayrshire,Local Authority,2014,No,All,Male,All,All,71,83.8,77.4
S12000049,Glasgow City,Local Authority,2015,No,All,Male,All,All,69.5,76.4,72.9
S12000036,City of Edinburgh,Local Authority,2018,Yes,All,Male,All,All,13.8,20,16.9
S12000014,Falkirk,Local Authority,2012,No,All,Male,All,All,75.3,85.8,80.5
S12000048,Perth and Kinross,Local Authority,2015,No,All,Male,All,All,72.9,87,79.9
S12000030,Stirling,Local Authority,2018,Yes,All,Male,All,All,9.9,24.1,17
S08000026,Shetland,NHS Health Board,2015,Yes,All,Male,All,All,7.8,19.1,13.5
S12000006,Dumfries and Galloway,Local Authority,2017,No,All,Male,All,All,71.8,83.8,77.8
S08000031,Greater Glasgow and Clyde,NHS Health Board,2016,Yes,All,Male,All,All,20.7,25.3,23
S12000013,Na h-Eileanan Siar,Local Authority,2016,No,All,Male,All,All,66.1,83.8,74.9
S12000041,Angus,Local Authority,2017,No,All,Male,All,All,76.3,88.7,82.5
S08000026,Shetland,NHS Health Board,2013,No,All,Male,All,All,68.8,87.7,78.2
S12000008,East Ayrshire,Local Authority,2017,No,All,Male,All,All,73.1,87.4,80.2
